"","Feature","Gain","Cover","Frequency"
"1","qtyOrdered",0.953229302873069,0.127316440472536,0.0537707135610416
"2","MV",0.0419260412524823,0.394808194702116,0.247886371322286
"3","incrementId",0.00184740910799665,0.0409697645712885,0.176192086574231
"4","price",0.00103805727639615,0.102756885753323,0.153533987149138
"5","itemId",0.000878315839742194,0.0672333190375416,0.0635779506256341
"6","discountAmount",0.000505706520605512,0.0900687372047636,0.129184984781874
"7","customerId",0.000484732246729062,0.168723499276375,0.122421373013189
"8","Month",4.41120852925986e-05,0.00804998319943356,0.0290835306053433
"9","customerSince",1.78495072929154e-05,2.0309635812056e-05,0.0114981400067636
"10","FY",1.33500785451925e-05,1.54341978069058e-06,0.00473452823807913
"11","paymentMethod",1.14948743250483e-05,4.50123909477964e-05,0.00202908353060534
"12","status",1.88785987625286e-06,2.17043406659613e-07,0.00338180588434224
"13","BIStatus",1.17423222105175e-06,6.03300284066813e-06,0.00169090294217112
"14","categoryName",5.66245426353071e-07,6.02898351832258e-08,0.00101454176530267
